Event Count,Jaccard Similarity
29,0.12444444444444444
59,0.23555555555555555
89,0.23555555555555555
119,0.3511111111111111
149,0.4177777777777778
179,0.44
209,0.52
239,0.5377777777777778
269,0.5866666666666667
299,0.6
329,0.6044444444444445
359,0.6177777777777778
389,0.6488888888888888
419,0.6311111111111111
449,0.7111111111111111
479,0.7288888888888889
509,0.76
539,0.7511111111111111
569,0.7555555555555555
599,0.7422222222222222
629,0.76
659,0.7733333333333333
689,0.7777777777777778
719,0.7822222222222223
749,0.8044444444444444
779,0.8088888888888889
809,0.7822222222222223
839,0.7911111111111111
869,0.7911111111111111
899,0.8044444444444444
929,0.8088888888888889
959,0.8133333333333334
989,0.8133333333333334
1019,0.8177777777777778
1049,0.8177777777777778
1079,0.8177777777777778
1109,0.8133333333333334
1139,0.8088888888888889
1169,0.8
1199,0.8
1229,0.8
1259,0.8
1289,0.8
1319,0.8
1349,0.8
1379,0.8
1409,0.8
1439,0.8
1469,0.8
1499,0.8
1529,0.8
1559,0.7955555555555556
1589,0.7955555555555556
1619,0.7955555555555556
1649,0.7955555555555556
1679,0.7955555555555556
1709,0.7955555555555556
1739,0.8044444444444444
1769,0.8044444444444444
1799,0.8044444444444444
1829,0.8044444444444444
1859,0.8044444444444444
1889,0.8
1919,0.8
1949,0.8044444444444444
1979,0.8044444444444444
2009,0.8044444444444444
2039,0.8044444444444444
2069,0.8044444444444444
2099,0.8133333333333334
2129,0.8133333333333334
2159,0.8133333333333334
2189,0.8177777777777778
2219,0.8177777777777778
2249,0.8266666666666667
2279,0.8266666666666667
2309,0.8266666666666667
2339,0.8088888888888889
2369,0.8088888888888889
2399,0.8088888888888889
2429,0.8088888888888889
2459,0.8088888888888889
2489,0.8088888888888889
2519,0.8044444444444444
2549,0.8044444444444444
2579,0.8044444444444444
2609,0.8044444444444444
2639,0.8044444444444444
2669,0.8088888888888889
2699,0.8088888888888889
2729,0.8088888888888889
2759,0.8088888888888889
2789,0.8088888888888889
2819,0.8088888888888889
2849,0.8177777777777778
2879,0.8177777777777778
2909,0.8177777777777778
2939,0.8177777777777778
2969,0.8177777777777778
2999,0.8177777777777778
3029,0.8177777777777778
3059,0.8177777777777778
3089,0.8044444444444444
3119,0.8088888888888889
3149,0.8088888888888889
3179,0.8088888888888889
3209,0.8088888888888889
3239,0.8088888888888889
3269,0.8133333333333334
3299,0.8133333333333334
3329,0.8133333333333334
3359,0.8133333333333334
3389,0.8133333333333334
3419,0.8177777777777778
3449,0.8177777777777778
3479,0.8177777777777778
3509,0.8177777777777778
3539,0.8177777777777778
3569,0.8177777777777778
3599,0.8222222222222222
3629,0.8266666666666667
3659,0.8266666666666667
3689,0.8266666666666667
3719,0.8266666666666667
3749,0.8311111111111111
3779,0.8311111111111111
3809,0.8222222222222222
3839,0.8222222222222222
3869,0.8177777777777778
3899,0.8177777777777778
3929,0.8177777777777778
3959,0.8177777777777778
3989,0.8177777777777778
4019,0.8177777777777778
4049,0.8177777777777778
4079,0.8177777777777778
4109,0.8177777777777778
4139,0.8177777777777778
4169,0.8177777777777778
4199,0.8177777777777778
4229,0.8177777777777778
4259,0.8177777777777778
4289,0.8177777777777778
4319,0.8177777777777778
4349,0.8222222222222222
4379,0.8222222222222222
4409,0.8222222222222222
4439,0.8222222222222222
4469,0.8266666666666667
4499,0.8266666666666667
4529,0.8222222222222222
4559,0.8222222222222222
4589,0.8222222222222222
4619,0.8222222222222222
4649,0.8222222222222222
4679,0.8222222222222222
4709,0.8222222222222222
4739,0.8222222222222222
4769,0.8222222222222222
4799,0.8266666666666667
4829,0.8311111111111111
4859,0.8311111111111111
4889,0.8311111111111111
4919,0.8311111111111111
4949,0.8311111111111111
4979,0.8311111111111111
5009,0.8222222222222222
5039,0.8222222222222222
5069,0.8222222222222222
5099,0.8222222222222222
5129,0.8222222222222222
5159,0.8222222222222222
5189,0.8222222222222222
5219,0.8222222222222222
5249,0.8222222222222222
5279,0.8222222222222222
5309,0.8266666666666667
5339,0.8266666666666667
5369,0.8266666666666667
5399,0.8266666666666667
5429,0.8266666666666667
5459,0.8266666666666667
5489,0.8266666666666667
5519,0.8266666666666667
5549,0.8266666666666667
5579,0.8266666666666667
5609,0.8266666666666667
5639,0.8266666666666667
5669,0.8266666666666667
5699,0.8266666666666667
5729,0.8266666666666667
5759,0.8266666666666667
5789,0.8222222222222222
5819,0.8222222222222222
5849,0.8266666666666667
5879,0.8266666666666667
5909,0.8266666666666667
5939,0.8311111111111111
5969,0.8311111111111111
5999,0.8311111111111111
6029,0.8311111111111111
6059,0.8266666666666667
6089,0.8311111111111111
6119,0.8311111111111111
