Event Count,Jaccard Similarity
29,0.12444444444444444
59,0.23555555555555555
89,0.25333333333333335
119,0.3688888888888889
149,0.4177777777777778
179,0.47555555555555556
209,0.5288888888888889
239,0.5733333333333334
269,0.6133333333333333
299,0.6177777777777778
329,0.6311111111111111
359,0.6444444444444445
389,0.6977777777777778
419,0.68
449,0.7422222222222222
479,0.7822222222222223
509,0.6311111111111111
539,0.7733333333333333
569,0.7733333333333333
599,0.8
629,0.8177777777777778
659,0.8133333333333334
689,0.8355555555555556
719,0.8
749,0.8622222222222222
779,0.8666666666666667
809,0.84
839,0.8266666666666667
869,0.8488888888888889
899,0.8222222222222222
929,0.8311111111111111
959,0.8711111111111111
989,0.8311111111111111
1019,0.84
1049,0.8755555555555555
1079,0.8755555555555555
1109,0.8488888888888889
1139,0.8444444444444444
1169,0.8355555555555556
1199,0.8177777777777778
1229,0.6844444444444444
1259,0.8222222222222222
1289,0.8355555555555556
1319,0.8222222222222222
1349,0.8577777777777778
1379,0.8222222222222222
1409,0.8355555555555556
1439,0.8222222222222222
1469,0.84
1499,0.8355555555555556
1529,0.84
1559,0.8311111111111111
1589,0.8533333333333334
1619,0.8177777777777778
1649,0.8533333333333334
1679,0.8133333333333334
1709,0.8533333333333334
1739,0.8266666666666667
1769,0.8622222222222222
1799,0.84
1829,0.8266666666666667
1859,0.8444444444444444
1889,0.84
1919,0.8355555555555556
1949,0.8622222222222222
1979,0.8222222222222222
2009,0.8444444444444444
2039,0.8266666666666667
2069,0.8222222222222222
2099,0.8533333333333334
2129,0.8488888888888889
2159,0.8355555555555556
2189,0.8533333333333334
2219,0.8755555555555555
2249,0.8888888888888888
2279,0.8488888888888889
2309,0.8488888888888889
2339,0.8311111111111111
2369,0.8311111111111111
2399,0.8266666666666667
2429,0.8444444444444444
2459,0.8666666666666667
2489,0.8266666666666667
2519,0.8266666666666667
2549,0.8622222222222222
2579,0.8444444444444444
2609,0.8266666666666667
2639,0.84
2669,0.8488888888888889
2699,0.8488888888888889
2729,0.8311111111111111
2759,0.8311111111111111
2789,0.8444444444444444
2819,0.8666666666666667
2849,0.8355555555555556
2879,0.84
2909,0.8577777777777778
2939,0.8533333333333334
2969,0.84
2999,0.8177777777777778
3029,0.84
3059,0.84
3089,0.84
3119,0.8444444444444444
3149,0.8311111111111111
3179,0.8488888888888889
3209,0.8666666666666667
3239,0.8666666666666667
3269,0.8711111111111111
3299,0.8133333333333334
3329,0.8488888888888889
3359,0.8355555555555556
3389,0.8711111111111111
3419,0.84
3449,0.8355555555555556
3479,0.8533333333333334
3509,0.8755555555555555
3539,0.84
3569,0.88
3599,0.7111111111111111
3629,0.8666666666666667
3659,0.8888888888888888
3689,0.8711111111111111
3719,0.8666666666666667
3749,0.8711111111111111
3779,0.8533333333333334
3809,0.8666666666666667
3839,0.8622222222222222
3869,0.84
3899,0.84
3929,0.84
3959,0.84
3989,0.84
4019,0.8577777777777778
4049,0.84
4079,0.84
4109,0.88
4139,0.8355555555555556
4169,0.8533333333333334
4199,0.8533333333333334
4229,0.84
4259,0.84
4289,0.8577777777777778
4319,0.8533333333333334
4349,0.8577777777777778
4379,0.88
4409,0.8622222222222222
4439,0.6933333333333334
4469,0.8488888888888889
4499,0.8488888888888889
4529,0.8444444444444444
4559,0.8444444444444444
4589,0.8444444444444444
4619,0.8444444444444444
4649,0.8622222222222222
4679,0.8666666666666667
4709,0.8444444444444444
4739,0.8444444444444444
4769,0.8622222222222222
4799,0.8488888888888889
4829,0.7022222222222222
4859,0.8533333333333334
4889,0.8711111111111111
4919,0.8933333333333333
4949,0.8933333333333333
4979,0.8533333333333334
5009,0.8844444444444445
5039,0.8844444444444445
5069,0.8666666666666667
5099,0.8844444444444445
5129,0.8444444444444444
5159,0.8844444444444445
5189,0.8622222222222222
5219,0.8444444444444444
5249,0.8444444444444444
5279,0.8444444444444444
5309,0.8666666666666667
5339,0.8711111111111111
5369,0.8666666666666667
5399,0.8666666666666667
5429,0.8488888888888889
5459,0.8488888888888889
5489,0.8488888888888889
5519,0.8711111111111111
5549,0.8488888888888889
5579,0.8488888888888889
5609,0.8888888888888888
5639,0.8888888888888888
5669,0.8666666666666667
5699,0.8711111111111111
5729,0.7155555555555555
5759,0.8488888888888889
5789,0.8444444444444444
5819,0.8844444444444445
5849,0.8488888888888889
5879,0.8888888888888888
5909,0.8666666666666667
5939,0.8711111111111111
5969,0.8533333333333334
5999,0.8711111111111111
6029,0.8933333333333333
6059,0.8488888888888889
6089,0.8755555555555555
6119,0.8933333333333333
6149,0.8444444444444444
6179,0.8622222222222222
6209,0.8666666666666667
