Event Count,P2P Jacc,Order Management Jacc
7439,0.9412,0.0000
7469,0.9412,0.0000
7499,0.9412,0.0000
7529,0.9412,0.0000
7559,0.9412,0.0000
7589,0.9412,0.0000
7619,0.9706,0.0000
7649,0.9706,0.0000
7679,0.9706,0.0000
7709,0.9706,0.0000
7739,0.9412,0.0000
7769,0.9412,0.0000
7799,0.9706,0.0000
7829,0.9706,0.0000
7859,0.9706,0.0000
7889,0.9706,0.0000
7919,0.9706,0.0000
7949,0.9706,0.0000
7979,0.9706,0.0000
8009,0.9706,0.0000
8039,0.9706,0.0000
8069,0.9706,0.0000
8099,0.9706,0.0000
8129,0.9706,0.0000
8159,0.9706,0.0000
8189,0.9706,0.0000
8219,0.8824,0.0000
8249,0.9412,0.0000
8279,0.9412,0.0000
8309,0.9412,0.0000
8339,0.9412,0.0000
8369,0.9412,0.0000
8399,0.9412,0.0000
8429,0.9412,0.0000
8459,0.9412,0.0000
8489,0.9412,0.0000
8519,0.9412,0.0000
8549,0.9412,0.0000
8579,0.9412,0.0000
8609,0.9706,0.0000
8639,0.9706,0.0000
8669,0.9706,0.0000
8699,0.9706,0.0000
8729,1.0000,0.0000
8759,1.0000,0.0000
8789,1.0000,0.0000
8819,1.0000,0.0000
8849,1.0000,0.0000
8879,1.0000,0.0000
8909,1.0000,0.0000
8939,1.0000,0.0000
8969,1.0000,0.0000
8999,1.0000,0.0000
9029,1.0000,0.0000
9059,1.0000,0.0000
9089,1.0000,0.0000
9119,1.0000,0.0000
9149,1.0000,0.0000
9179,1.0000,0.0000
9209,1.0000,0.0000
9239,1.0000,0.0000
9269,1.0000,0.0000
9299,1.0000,0.0000
9329,1.0000,0.0000
9359,1.0000,0.0000
9389,1.0000,0.0000
9419,1.0000,0.0000
9449,1.0000,0.0000
9479,1.0000,0.0000
9509,1.0000,0.0000
9539,1.0000,0.0000
9569,1.0000,0.0000
9599,1.0000,0.0000
9629,1.0000,0.0000
9659,1.0000,0.0000
9689,1.0000,0.0000
9719,1.0000,0.0000
9749,1.0000,0.0000
9779,1.0000,0.0000
9809,1.0000,0.0000
9839,1.0000,0.0000
9869,1.0000,0.0000
9899,1.0000,0.0000
9929,1.0000,0.0000
9959,1.0000,0.0000
9989,1.0000,0.0000
10019,0.9412,0.0000
10049,1.0000,0.0000
10079,1.0000,0.0000
10109,1.0000,0.0000
10139,1.0000,0.0000
10169,1.0000,0.0000
10199,1.0000,0.0000
10229,1.0000,0.0000
10259,1.0000,0.0000
10289,1.0000,0.0000
10319,0.9706,0.0000
10349,1.0000,0.0000
10379,1.0000,0.0000
10409,1.0000,0.0000
10439,1.0000,0.0000
10469,1.0000,0.0000
10499,1.0000,0.0000
10529,1.0000,0.0000
10559,1.0000,0.0000
10589,1.0000,0.0000
10619,1.0000,0.0000
10649,1.0000,0.0000
10679,1.0000,0.0000
10709,1.0000,0.0000
10739,1.0000,0.0000
10769,1.0000,0.0000
10799,1.0000,0.0000
10829,1.0000,0.0000
10859,1.0000,0.0000
10889,1.0000,0.0000
10919,1.0000,0.0000
10949,1.0000,0.0000
10979,1.0000,0.0000
11009,1.0000,0.0000
11039,1.0000,0.0000
11069,1.0000,0.0000
11099,1.0000,0.0000
11129,1.0000,0.0000
11159,1.0000,0.0000
11189,1.0000,0.0000
11219,1.0000,0.0000
11249,1.0000,0.0000
11279,1.0000,0.0000
11309,1.0000,0.0000
11339,1.0000,0.0000
11369,1.0000,0.0000
11399,1.0000,0.0000
11429,1.0000,0.0000
11459,1.0000,0.0000
11489,1.0000,0.0000
11519,1.0000,0.0000
11549,1.0000,0.0000
11579,1.0000,0.0000
11609,1.0000,0.0000
11639,1.0000,0.0000
11669,1.0000,0.0000
11699,1.0000,0.0000
11729,1.0000,0.0000
11759,1.0000,0.0000
11789,1.0000,0.0000
11819,1.0000,0.0000
11849,1.0000,0.0000
11879,1.0000,0.0000
11909,1.0000,0.0000
11939,1.0000,0.0000
11969,1.0000,0.0000
11999,1.0000,0.0000
12029,1.0000,0.0000
12059,1.0000,0.0000
12089,1.0000,0.0000
12119,1.0000,0.0000
12149,1.0000,0.0000
12179,1.0000,0.0000
12209,1.0000,0.0000
12239,1.0000,0.0000
12269,1.0000,0.0000
12299,1.0000,0.0000
12329,1.0000,0.0000
12359,1.0000,0.0000
12389,1.0000,0.0000
12419,1.0000,0.0000
12449,1.0000,0.0000
12479,0.9706,0.0000
12509,1.0000,0.0000
12539,1.0000,0.0000
12569,1.0000,0.0000
12599,0.9706,0.0000
12629,1.0000,0.0000
12659,1.0000,0.0000
12689,1.0000,0.0000
12719,1.0000,0.0000
12749,1.0000,0.0000
12779,1.0000,0.0000
12809,1.0000,0.0000
12839,1.0000,0.0000
12869,0.9412,0.0000
12899,1.0000,0.0000
12929,1.0000,0.0000
12959,1.0000,0.0000
12989,1.0000,0.0000
13019,1.0000,0.0000
13049,1.0000,0.0000
13079,1.0000,0.0000
13109,1.0000,0.0000
13139,1.0000,0.0000
13169,1.0000,0.0000
13199,1.0000,0.0000
13229,0.9412,0.0000
13259,0.9412,0.0000
13289,1.0000,0.0000
13319,1.0000,0.0000
13349,1.0000,0.0000
13379,1.0000,0.0000
13409,1.0000,0.0000
13439,1.0000,0.0000
13469,1.0000,0.0000
13499,1.0000,0.0000
13529,1.0000,0.0000
13559,1.0000,0.0000
13589,1.0000,0.0000
13619,1.0000,0.0000
13649,1.0000,0.0000
13679,1.0000,0.0000
13709,1.0000,0.0000
13739,1.0000,0.0000
13769,1.0000,0.0000
13799,1.0000,0.0000
13829,1.0000,0.0000
13859,1.0000,0.0000
13889,1.0000,0.0000
13919,1.0000,0.0000
13949,0.9706,0.0000
13979,0.9706,0.0000
14009,0.9706,0.0000
14039,1.0000,0.0000
14069,1.0000,0.0000
14099,1.0000,0.0000
14129,1.0000,0.0000
14159,1.0000,0.0000
14189,1.0000,0.0000
14219,1.0000,0.0000
14249,1.0000,0.0000
14279,1.0000,0.0000
14309,1.0000,0.0000
14339,1.0000,0.0000
14369,1.0000,0.0000
14399,1.0000,0.0000
14429,1.0000,0.0000
14459,0.8235,0.0000
14489,0.8235,0.0000
14519,0.9412,0.0000
14549,0.9412,0.0000
14579,0.8235,0.0000
14609,1.0000,0.0000
14639,0.9412,0.0000
14669,0.9412,0.0000
14699,0.0000,0.1244
14729,0.0000,0.2356
14759,0.0000,0.2489
14789,0.0000,0.3600
14819,0.0000,0.4444
14849,0.0000,0.4756
14879,0.0000,0.5511
14909,0.0000,0.5689
14939,0.0000,0.6267
14969,0.0000,0.6444
14999,0.0000,0.6489
15029,0.0000,0.6622
15059,0.0000,0.6978
15089,0.0000,0.6800
15119,0.0000,0.7600
15149,0.0000,0.7822
15179,0.0000,0.8178
15209,0.0000,0.8089
15239,0.0000,0.7911
15269,0.0000,0.8000
